date,keywords,geo,hits
2008-03-21T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,33.24757661490109
2008-03-22T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,50.28562487331247
2008-03-22T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,44.55175266396744
2008-03-23T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,48.17573851499166
2008-03-23T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,47.21155879315954
2008-03-24T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,55.20869304272768
2008-03-24T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,48.20898609160657
2008-03-25T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,50.988920326086074
2008-03-25T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,50.53631645464965
2008-03-26T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,43.252670345576476
2008-03-26T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,48.541461857755586
2008-03-27T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,43.60431807196327
2008-03-27T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,46.54660726086152
2008-03-28T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,46.06585215667086
2008-03-28T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,50.86879222079867
2008-03-29T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,49.58232942053887
2008-03-29T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,43.554325365520434
2008-03-30T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,45.010908977510475
2008-03-30T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,42.22442230092437
2008-03-31T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,52.3955112316333
2008-03-31T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,52.86364681769272
2008-04-01T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,50.28562487331247
2008-04-01T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,47.54403455930855
